Spanish,English
Hola,Hello
Adios,Goodbye
Gracias,Thank you
Por favor,Please
Perdon,Excuse me
Lo siento,I'm sorry
Si,Yes
No,No
Como estos?,How are you?
Bien,Good
Mal,Bad
Amigo,Friend
Familia,Family
Comida,Food
Casa,House/Home
Escuela,School
Trabajo,Work
Dia,Day
Noche,Night
Amor,Love
Tiempo,Time
Dinero,Money
Feliz,Happy
Triste,Sad
Rapido,Fast
Lento,Slow
Coche,Car
Perro,Dog
Gato,Cat
Nino,Boy
Nina,Girl
Hombre,Man
Mujer,Woman
Agua,Water
Pan,Bread
Leche,Milk
Zapatos,Shoes
Camisa,Shirt
Pantalones,Pants
Libro,Book
Mesa,Table
Silla,Chair
Ventana,Window
Puerta,Door
Calle,Street
Ciudad,City
Pais,Country
Mundo,World
Sol,Sun
Luna,Moon
Estrella,Star
Cielo,Sky
Mar,Sea
Playa,Beach
Montana,Mountain
Rio,River
Bosque,Forest
Flores,Flowers
Arbol,Tree
Verde,Green
Rojo,Red
Azul,Blue
Negro,Black
Blanco,White
Amarillo,Yellow
Marron,Brown
Morado,Purple
Rosa,Pink
Grande,Big
Pequeno,Small
Alto,Tall
Bajo,Short
Cerca,Near
Lejos,Far
Aqui,Here
Alli,There
Adentro,Inside
Afuera,Outside
Arriba,Up
Abajo,Down
Izquierda,Left
Derecha,Right
Frio,Cold
Caliente,Hot
Tarde,Late
Temprano,Early
Primavera,Spring
Verano,Summer
Otono,Autumn
Invierno,Winter
Semana,Week
Mes,Month
Ano,Year
Hoy,Today
Ayer,Yesterday
Manana,Tomorrow
Siempre,Always
Nunca,Never
A veces,Sometimes
Ahora,Now
